date,chair,sentiment_score
2011-04-27,CHAIRMAN BERNANKE,-0.7011613777330375
2011-06-22,CHAIRMAN BERNANKE,-0.6299460928744651
2011-08-09,CHAIRMAN BERNANKE,-0.11498956973622275
2011-09-21,CHAIRMAN BERNANKE,-0.6113640557667736
2011-11-02,CHAIRMAN BERNANKE,-0.7220817282243396
2011-12-13,CHAIRMAN BERNANKE,-0.35085865347459433
2012-01-25,CHAIRMAN BERNANKE,-0.6435609287205777
2012-03-13,CHAIRMAN BERNANKE,-0.5704390116335598
2012-04-25,CHAIRMAN BERNANKE,-0.6354260113180916
2012-06-20,CHAIRMAN BERNANKE,-0.4746991248935492
2012-08-01,CHAIRMAN BERNANKE,-0.6266539577510727
2012-09-13,CHAIRMAN BERNANKE,-0.6732466362971411
2012-10-24,CHAIRMAN BERNANKE,-0.7164350615085758
2012-12-12,CHAIRMAN BERNANKE,-0.5635566634718058
2013-01-30,CHAIRMAN BERNANKE,-0.52521838519655
2013-03-20,CHAIRMAN BERNANKE,-0.6500940808461367
2013-05-01,CHAIRMAN BERNANKE,-0.41775237929494685
2013-06-19,CHAIRMAN BERNANKE,-0.4674457549226096
2013-07-31,CHAIRMAN BERNANKE,-0.5853576186704522
2013-09-18,CHAIRMAN BERNANKE,-0.635935953396249
2013-10-30,CHAIRMAN BERNANKE,-0.6518504566180774
2013-12-18,CHAIRMAN BERNANKE,-0.660181873095858
2014-01-29,CHAIRMAN BERNANKE,-0.7221147018917101
2014-03-19,CHAIR YELLEN,-0.5422124331481883
2014-04-30,CHAIR YELLEN,-0.8988910622054088
2014-06-18,CHAIR YELLEN,-0.8697529944652879
2014-07-30,CHAIR YELLEN,-0.8676171594807964
2014-09-17,CHAIR YELLEN,-0.710946938285489
2014-10-29,CHAIR YELLEN,-0.6782403217244627
2014-12-17,CHAIR YELLEN,-0.5944180510636402
2015-01-28,CHAIR YELLEN,-0.8167066652127403
2015-03-18,CHAIR YELLEN,-0.7217728250294583
2015-04-29,CHAIR YELLEN,-0.606239632825273
2015-06-17,CHAIR YELLEN,-0.5425356653255018
2015-07-29,CHAIR YELLEN,-0.7625421488921225
2015-09-17,CHAIR YELLEN,-0.5829239230294856
2015-10-28,CHAIR YELLEN,-0.6955513822656149
2015-12-16,CHAIR YELLEN,-0.5234203068641783
2016-01-27,CHAIR YELLEN,-0.6172943060969253
2016-03-16,CHAIR YELLEN,-0.35143989953104837
2016-04-27,CHAIR YELLEN,-0.7160332863706863
2016-06-15,CHAIR YELLEN,-0.5522231885875979
2016-07-27,CHAIR YELLEN,-0.6461853758870048
2016-09-21,CHAIR YELLEN,-0.5803597916700843
2016-11-02,CHAIR YELLEN,-0.8047092620095535
2016-12-14,CHAIR YELLEN,-0.7308838963747664
2017-02-01,CHAIR YELLEN,-0.7120777841992253
2017-03-15,CHAIR YELLEN,-0.8030510239601689
2017-05-03,CHAIR YELLEN,-0.5075567874932377
2017-06-14,CHAIR YELLEN,-0.6318170450690158
2017-07-26,CHAIR YELLEN,-0.6350082835250949
2017-09-20,CHAIR YELLEN,-0.5358224254619648
2017-11-01,CHAIR YELLEN,-0.6398637343275276
2017-12-13,CHAIR YELLEN,-0.7147878877227221
2018-01-31,CHAIR YELLEN,-0.7951299177868706
2018-05-02,CHAIR POWELL,-0.4438688243069936
2018-06-13,CHAIR POWELL,-0.6783441657928004
2019-01-30,CHAIR POWELL,-0.3190138201606463
2019-03-20,CHAIR POWELL,-0.6042575242154083
2019-06-19,CHAIR POWELL,-0.6800556195550855
2019-07-31,CHAIR POWELL,-0.728840752193845
2019-09-18,CHAIR POWELL,-0.6629002470754395
2019-10-30,CHAIR POWELL,-0.748570234622284
2019-12-11,CHAIR POWELL,-0.7328908631214522
